0,14134,26304,25577,13342,37752,42367,37475,39858,38353,38988,39204,39790,45551,34490,42428,32868,41728,43600,42533,41220,36423,45362,52880,45995,44943,44059,50457,42108,39172,48327,40056,39885,43320,44451,30175,18289,23019,32617,36930,42737,44076,47330,47220,44707,43610,44306,51748,40485,43387,40980,40475,45858,41355,34390,34390,33663,42709,28955,24383,54958,35504,38968,28676,39739,35446,39395,40090,35686,40996,37670,40357,37971,39750,38370,36221,35923,34450,37133,37795,36067
12502,0,21465,20738,1156,32913,37528,32636,35019,33513,34149,34365,34951,40712,29651,37589,28029,36889,38761,37694,36381,31584,40523,48041,41156,40104,39220,45618,37269,34333,54453,35217,35046,38481,39612,25336,13450,18180,27777,32091,37898,39237,42491,42381,39867,38771,39467,46909,35646,38548,36141,35635,41019,36515,29551,29551,28823,48506,24116,19543,56106,30665,34129,23837,34900,30607,34556,35251,30847,36156,32831,35518,33132,34910,33531,31382,31084,29611,32294,32956,31228
25604,22230,0,2659,21438,11443,20668,11166,13549,16625,17770,12895,13481,19242,8181,16119,6559,15419,17291,16224,14911,10114,19053,26571,19686,18634,17750,24148,15799,12863,22018,13747,13576,17011,18142,14542,13172,7719,14141,19012,16428,22028,21021,20911,18398,17301,17997,25439,14176,17078,14672,14166,19549,15046,8087,8087,7359,16405,2651,10477,28654,9200,12664,7079,13430,9137,13086,13781,9382,14687,11361,14048,11662,13441,12061,9917,9614,8146,10824,11491,9763
25439,22065,1162,0,21273,12611,21836,12334,14717,17792,18938,14063,14649,20409,9348,17287,7726,16586,18459,17391,16078,11281,20220,27738,20853,19801,18917,25315,16966,14031,23185,14914,14744,18179,19310,15709,13007,7555,15308,20180,17596,23195,22188,22079,19565,18468,19165,26607,15343,18246,15839,15333,20716,16213,9249,9249,8521,17567,3814,10313,29816,10363,13826,6914,14598,10304,14254,14948,10544,15854,12529,15215,12830,14608,13228,11079,10782,9308,11992,12653,10925
11346,1061,20308,19581,0,31757,36372,31480,33863,32357,32993,33209,33795,39555,28494,36433,26872,35732,37605,36537,35224,30427,39366,46884,39999,38947,38063,44461,36112,33177,42331,34060,33890,37325,38456,24180,12294,17023,26621,30935,36741,38081,41334,41225,38711,37614,38311,45753,34489,37392,34985,34479,39862,35359,28395,28395,27667,49430,22960,18387,57030,29509,32972,22680,33744,29450,33400,34094,29690,35000,31675,34361,31976,33754,32374,30225,29928,28454,31138,31799,30071
37246,33872,13790,14743,33080,0,12445,916,3382,8401,9250,4672,2348,9484,8012,7036,8908,6877,8208,13500,8252,8384,13534,21053,10954,13115,10377,18629,16259,11098,24345,16074,12518,11069,20470,10313,24814,14941,7754,7609,8205,13805,12798,12688,10175,9078,9774,16227,5093,9054,6448,5943,11326,6823,20217,20217,19489,20872,14782,22119,25750,16909,20405,18721,8353,11464,9769,8704,16580,16811,11218,14753,13990,14894,10324,13447,11942,15223,13152,14488,17184
41204,37830,22139,23091,37038,10568,0,11013,8634,5802,5086,9652,9281,8711,16361,10539,17257,13172,10309,17003,12867,17754,14938,24887,11657,14897,12478,23637,19762,17295,26365,18392,16022,14572,21741,14337,28772,20013,12826,11634,5694,3946,2939,2830,4852,4168,3724,13040,11304,7151,9322,8810,8389,9890,28566,28566,27838,26958,23130,30468,31835,25837,29334,27069,17282,19813,18698,17633,25509,22897,22037,23682,22338,23823,19253,21796,20290,23571,21500,22837,26113
36758,33384,13302,14255,32592,625,11957,0,3339,7913,8762,4184,2335,8996,7524,6548,8420,6389,7720,13012,7764,7896,13046,20565,10466,12628,9889,18141,15771,10610,23857,15586,12030,10581,19982,9826,24326,14454,7267,7122,7717,13317,12310,12200,9687,8590,9286,15739,4605,8566,5960,5455,10838,6335,19729,19729,19001,20384,14294,21631,25262,16421,19917,18233,7865,10976,9281,8216,16092,16323,10730,14265,13502,14406,9836,12960,11454,14735,12664,14000,16696
38859,35485,15404,16356,34693,3603,7730,3302,0,2907,6319,681,858,7179,9626,7302,10522,8491,7072,13766,9865,9998,11503,19021,10126,14729,9043,17638,16525,12711,25959,17688,12784,11335,22083,11470,26427,17154,9967,8767,5230,9197,8496,8387,5359,4262,4490,13251,5466,5224,3678,3172,8350,4052,21831,21831,21103,22486,16395,23733,27363,18522,22019,20334,9967,13078,11382,10317,18194,18425,12831,16367,15603,16507,11938,15061,13555,16836,14765,16102,18797
37444,34070,17988,18940,33278,6800,5890,7245,3028,0,4938,4046,3675,8088,12210,8989,13105,9021,8758,15452,10395,13603,13189,25558,11035,18334,10729,24308,18212,15875,28542,20271,14471,13021,24667,10569,25012,16254,9066,7866,6138,7357,6656,6547,4472,3376,4788,13711,7152,6133,5171,4659,9259,5738,24414,24414,23687,26091,18979,26317,30968,21686,25183,22918,13131,15661,14546,13481,21358,22030,17886,19531,18187,19671,15102,17645,16139,19420,17349,18685,21961
